No.,NIT,RAZON SOCIAL,SUPERVISOR,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,"INGRESOS OPERACIONALES
2018*",GANANCIA (PERDIDA) 2018,TOTAL ACTIVOS 2018,TOTAL PASIVOS 2018,TOTAL PATRIMONIO 2018,"INGRESOS OPERACIONALES
2017*",GANANCIA (PERDIDA) 2017,TOTAL ACTIVOS 2017,TOTAL PASIVOS 2017,TOTAL PATRIMONIO 2017,GRUPO EN NIIF
11,800021308,DRUMMOND LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,6073369367,290939104,8333006622,2790031022,5542975600,5561593850,68011719,7931239677,2680487953,5250751724,NIIF PLENAS-GRUPO 1
12,860005224,Bavaria S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C1103 - Producción de malta, elaboración de cervezas y otras bebidas malteadas",MANUFACTURA,5947893316,2445403377,9440577820,5849861026,3590716794,5960451573,1843451021,9746982288,3583837302,6163144986,NIIF PLENAS-GRUPO 1
13,860002554,PRIMAX COLOMBIA S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,5906508047,126069745,1384963175,1009942475,375020700,5462496766,26120910,1172264515,919871559,252392956,NIIF PLENAS-GRUPO 1
14,890900943,Colombiana de comercio S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco",COMERCIO,5773518009,190841884,3166454185,1456830276,1709623909,5177286721,143889015,2950818654,1302889809,1647928845,NIIF PLENAS-GRUPO 1
15,860069804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,5225686577,968597017,6957642897,2900075201,4057567696,5033674872,1068701203,6653270260,2927218970,3726051290,NIIF PLENAS-GRUPO 1
16,830037248,CODENSA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,D3514 - Comercializacion de energia electrica,SERVICIOS,5059808668,608640849,6824665149,4056827795,2767837354,4541571778,623485951,6184185749,3535367044,2648818705,NIIF PLENAS-GRUPO 1
17,900818921,KOPPS COMMERCIAL S A S,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4632 - Comercio al por mayor de bebidas y tabaco,COMERCIO,4680238004,194345714,2808783241,2511406497,297376744,95576064,30386116,122757992,19726962,103031030,NIIF PYMES-GRUPO 2
18,900585067,C.I. TRAFIGURA PETROLEUM COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,4624910164,3827980,467607695,449930622,17677073,2382184106,719330,494773997,482406219,12367778,NIIF PYMES-GRUPO 2
19,901097473,MEDIMAS EPS SAS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,4252498787.92,-699359291.31,1875886052.46,2037168794.75,-161282742.29,1738396946.34,38144067.85,2253046485.57,2196231536.55,56814949.02,NIIF PYMES-GRUPO 2
20,800251163,OLEODUCTO CENTRAL SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,H4930 - Transporte por tuberías,SERVICIOS,4149457304,1988938305,6550709498,2677087505,3873621993,4062729821,1763668340,5424875246,2044297857,3380577389,NIIF PLENAS-GRUPO 1
21,800088702,EPS  SURA,SUPERSALUD,Antioquia,ANTIOQUIA,MEDELLIN,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,3939304579.97,59486352.63,931602834.75,671199311.42,260403523.33,3262781735.08,40823915.19,721512723.71,523867610.89,197645112.82,NIIF PLENAS-GRUPO 1
22,900276962,KOBA COLOMBIA SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,TOCANCIPA-CUNDINAMARCA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,3811484857,-25111595,722379883,799380037,-77000154,3124608046,-69265664,648223159,700056139,-51832980,NIIF PLENAS-GRUPO 1
23,900155107,Cencosud Colombia S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,3772463923,-109706088,6256674395,1747187356,4509487039,3839177352,-52822867,6272267825,1653074698,4619193127,NIIF PLENAS-GRUPO 1
24,830053800,TELMEX COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4690 - Comercio al por mayor no especializado,COMERCIO,3753099408,360902243,5593999692,1227746170,4366253522,3421914122,314450641,4981734070,1155679587,3826054483,NIIF PLENAS-GRUPO 1
25,860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,D3511 - Generación de energia electrica,SERVICIOS,3718448908,1020338048,9249963440,5010715434,4239248006,3425080901,887055685,9028370393,5180084093,3848286300,NIIF PLENAS-GRUPO 1
26,800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,COMERCIO,3622711680,177837043,2493870730,1301606012,1192264718,3457047231,174246833,2283095225,1115436850,1167658375,NIIF PLENAS-GRUPO 1
27,900268747,PAREX RESOURCES COLOMBIA LTD. Sucursal,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,3612873299,1766691281,4235538350,1528181149,2707357201,1591411711,301333300,1834349240,597488013,1236861227,NIIF PLENAS-GRUPO 1
28,860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,3596391000,144536000,1299100000,1102361000,196739000,3297938000,156011000,1260108000,1107002000,153106000,NIIF PLENAS-GRUPO 1
29,830126302,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,3489742062,22250091,4570445536,2288225796,2282219740,3481533124,-491684486,4751646259,1901660142,2849986117,NIIF PLENAS-GRUPO 1
30,860041312,C.I. PRODECO S.A.,SUPERSOCIEDADES,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,3434029699,-81603010,4089093226,2624299292,1464793934,3689025228,236154199,3647635183,2203531884,1444103299,NIIF PLENAS-GRUPO 1
31,800251440,E.P.S. SANITAS S.A.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,3390854376.36,31261431.03,1245879311.06,1031761504.28,214117806.78,2683848828.56,-33000478.1,889561444.32,738703361.64,150858082.68,NIIF PLENAS-GRUPO 1
32,800216181,GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,G4799 - Otros tipos de comercio al por menos no realizado en establecimientos puestos de venta o mercados,COMERCIO,3150418000,2887749000,20282237000,2060596000,18221641000,2274822000,2001178000,18933486000,2094993000,16838493000,NIIF PLENAS-GRUPO 1
33,900061554,GESTORA ADMINEGOCIOS Y CIA S EN C,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,M7010 - Actividades de administración empresarial,SERVICIOS,3075885901,3041816259,6052109005,2330238419,3721870586,268942108,268917898,7882066066,99673,7881966393,NIIF PLENAS-GRUPO 1
34,805000427,COOMEVA EPS SA,SUPERSALUD,Costa Pacífica,VALLE,CALI-VALLE,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2984184412.97,8471593.9,1645342128.71,2078876384.73,-433534256.02,3295650390.15,-797799744.79,1540804170.88,2036473923.73,-495669752.85,NIIF PLENAS-GRUPO 1
35,800130907,SALUD TOTAL S.A. EPS,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2723900586.85,50670242.12,1066935325.84,867828025.02,199107300.82,2264357157.16,85798836.85,830456122.29,665822026.32,164634095.97,NIIF PYMES-GRUPO 2
36,811000740,ISAGEN SA ESP,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3511 - Generación de energia electrica,SERVICIOS,2675910000,454169000,18989502000,13077940000,5911562000,2366515000,353007000,19244256000,13758985000,5485271000,NIIF PLENAS-GRUPO 1
37,860025792,SOCIEDAD DE FABRICACION DE AUTOMOTORES SAS,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C2910 - Fabricación de vehículos automotores y sus motores,MANUFACTURA,2655492403,58278332,821243192,639116279,182126913,2714932282,121217294,743804794,561757402,182047392,NIIF PLENAS-GRUPO 1
38,830028931,Samsung Electronics Colombia S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones",COMERCIO,2636602189,13326552,1345500621,1198714770,146785851,2768734004,17059308,1172010423,1038551124,133459299,NIIF PLENAS-GRUPO 1
39,830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0510 - Extracción de hulla (carbón de piedra),MINERO-HIDROCARBUROS,2598663471,512853825,4220730380,1597679334,2623051046,2530965808,483783692,3548641185,1239841596,2308799589,NIIF PLENAS-GRUPO 1
40,860002304,General Motors Colmotores S.A,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C2910 - Fabricación de vehículos automotores y sus motores,MANUFACTURA,2585957735,81748976,1264482872,861453540,403029332,2243125518,-77924454,1061522462,721763980,339758482,NIIF PLENAS-GRUPO 1
41,900092385,UNE EPM TELECOMUNICACIONES  S.A.,SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,J6110 - Actividades de telecomunicaciones alámbricas,SERVICIOS,2540501000,-31177000,5173640000,3281999000,1891641000,2512048000,-10554000,5270456000,3252516000,2017940000,NIIF PLENAS-GRUPO 1
42,860066942,COMPENSAR,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,M7010- Actividades de administración empresarial,SERVICIOS,2521778649.24,23680434.68,1173799210.91,603872914.31,569926296.6,2160017315.31,201462884.34,905732626.1,479034100.94,426698525.16,NIIF PLENAS-GRUPO 1
43,830136799,BIOCOMBUSTIBLES S.A. - BIOMAX,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,2407436665,67875223,709655278,431234930,278420348,2265623033,46224035,681412409,415758666,265653743,NIIF PLENAS-GRUPO 1
44,830003564,FAMISANAR  LTDA.  CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,2345554517.16,-12095094.97,877388656.75,981581889.17,-104193232.41,1981357025.48,-160748920.15,762465893.19,763193813.35,-727920.15,NIIF PYMES-GRUPO 2
45,800007813,GAS NATURAL S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,D3520 - Producción de gas; distribución de combustibles gaseosos por tuberías,SERVICIOS,2333251895,228080145,1283759876,749322087,534437789,2348560584,235780781,1311674412,764004639,547669773,NIIF PLENAS-GRUPO 1
46,800059470,POLIPROPILENO DEL CARIBE S.A.,SUPERSOCIEDADES,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,C2013 - Fabricación de plásticos en formas primarias,MANUFACTURA,2329130306,158323546,2023509798,406658414,1616851384,2003246804,160536152,1926012012,405866107,1520145905,NIIF PLENAS-GRUPO 1
47,900480569,JERONIM MARTINS COLOMBIA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,2259151269,-384600460,1646322370,1578292386,68029984,1438883069,-346370368,1273103474,1089548827,183554647,NIIF PLENAS-GRUPO 1
48,830114921,Colombia Movil S.A. E.S.P.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,J6120 - Actividades de telecomunicaciones inalámbricas,SERVICIOS,2151530485,-22483321,2284808224,2011997027,272811197,2172613892,88619500,2339400225,2004123233,335276992,NIIF PLENAS-GRUPO 1
49,860016610,INTERCONEXION ELECTRICA S.A. E.S.P. (ISA),SUPERSERVICIOS,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,D3512 - Transmision d energia electrica,SERVICIOS,2041138000,1529155000,18104123000,6210883000,11893240000,2021582000,1442708000,16726509000,5750381000,10976128000,NIIF PLENAS-GRUPO 1
50,900473830,GUNVOR COLOMBIA CI SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,2039635076,2886353,164354785,160614564,3740221,1282631784,453238,244135123,243155774,979349,NIIF PYMES-GRUPO 2
51,816001182,AUDIFARMA SA,SUPERSOCIEDADES,Eje Cafetero,RISARALDA,PEREIRA-RISARALDA,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,2038983194,11522593,1449498022,1209012689,240485333,1711203184,55311352,1147026094,918672812,228353282,NIIF PLENAS-GRUPO 1
52,899999082,GRUPO ENERGIA BOGOTA S.A. E.S.P.,SUPERSERVICIOS,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,D3512 - Transmision d energia electrica,SERVICIOS,2033704000,1703693000,17037219000,4480769000,12556450000,1854310000,1500121000,15921655000,4341187000,11580468000,NIIF PLENAS-GRUPO 1
53,890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,Costa Atlántica,ATLANTICO,BARRANQUILLA-ATLANTICO,"C2394 - Fabricación de cemento, cal y yeso",MANUFACTURA,1986339000,178506000,13799209000,5341070000,8458139000,1714044000,-10807000,13373883000,5036635000,8337248000,NIIF PLENAS-GRUPO 1
54,860074450,QUALA SA,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,C1089 - Elaboración de otros productos alimenticios n.c.p.,MANUFACTURA,1892268732,634613734,1071323989,304499050,766824939,2394212166,639475402,1521837930,328755544,1193082386,NIIF PLENAS-GRUPO 1
55,900017447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas y tabaco",COMERCIO,1882300829,15200709,1038433329,670638736,367794593,1649847477,-21422374,1095382815,802826863,292555952,NIIF PLENAS-GRUPO 1
56,811009788,DISTRACOM S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4731 - Comercio al por menor de combustible para automotores,COMERCIO,1851017938,38095368,947251651,390395319,556856332,1646737079,28261373,798999187,361047799,437951388,NIIF PLENAS-GRUPO 1
57,814000337,EMSSANAR ESS,SUPERSALUD,Costa Pacífica,NARIÑO,PASTO,Q8699- Otras actividades de atencion de la salud humana,SERVICIOS,1804994430.5,-71361122.45,429134710.03,850121358.68,-420986648.65,1687585895.29,-365211593.42,402172960.83,751829154.43,-349656193.6,NIIF PYMES-GRUPO 2
58,860025900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,Bogotá - Cundinamarca,CUNDINAMARCA,SOPO-CUNDINAMARCA,C1040 - Elaboración de productos lácteos,MANUFACTURA,1797323048,85630850,1078945269,914535713,164409556,1795762249,81155678,1019465407,874681603,144783804,NIIF PLENAS-GRUPO 1
59,890903939,POSTOBON SA,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas",MANUFACTURA,1750382430,67190567,3410220662,1318000273,2092220389,1625015692,78659465,3167796647,1141951978,2025844669,NIIF PLENAS-GRUPO 1
60,900226715,COOSALUD S.A,SUPERSALUD,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,O8430- Actividades de planes de seguridad social de afiliacion obligatoria,SERVICIOS,1745962935.57,2637683.12,697942017.55,629705236.67,68236780.88,251938023.4,2235499.07,366019129.99,331480606.63,34538523.36,NIIF PYMES-GRUPO 2
61,860516431,GRAN TIERRA ENERGY COLOMBIA LTD,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,1745876000,186825000,3493114000,661254000,2831860000,1179439000,158172000,3114754000,492263000,2622491000,NIIF PLENAS-GRUPO 1
62,890901271,CONTEGRAL S.A.S,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,C1090 - Elaboración de alimentos preparados para animales,MANUFACTURA,1740281490,77553970,1178258473,607134957,571123516,1667811116,84458105,1081514094,570461122,511052972,NIIF PLENAS-GRUPO 1
63,890304130,ALIMENTOS CARNICOS S.A.S.,SUPERSOCIEDADES,Costa Pacífica,VALLE,YUMBO-VALLE,C1011 - Procesamiento y conservación de carne y productos cárnicos,MANUFACTURA,1730630662,97518798,2011819721,1042911357,968908364,1700467733,67356508,1984269961,1088886682,895383279,NIIF PLENAS-GRUPO 1
369,800041829,YOKOMOTOR S.A.,SUPERSOCIEDADES,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,390687497,6012687,164419121,96419900,67999221,294867216,4273039,140549483,75437195,65112288,NIIF PYMES-GRUPO 2
64,800246860,EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.,SUPERSERVICIOS,Costa Pacífica,VALLE,YUMBO-VALLE,D3513- Distribución de energía electrica,SERVICIOS,1728898000,316594000,6120084000,3043749000,3076335000,1601862000,209791000,4914137000,1982789000,2931348000,NIIF PLENAS-GRUPO 1
65,800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,1696871205,38694540,850716785,623002638,227714147,1425479496,27283958,702330466,512717640,189612826,NIIF PLENAS-GRUPO 1
66,900331322,VERANO ENERGY (BARBADOS) LIMITED SUCURSAL,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,1670932242,515536530,4077215192,3366752773,710462419,471406424,304402554,218756967,85946477,132810490,NIIF PLENAS-GRUPO 1
67,860004864,"OCCIDENTAL ANDINA, LLC",SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0610 - Extracción de petróleo crudo,MINERO-HIDROCARBUROS,1662646597,480249810,4343852223,1288932990,3054919233,1591207292,489774040,3737389144,1262691441,2474697703,NIIF PLENAS-GRUPO 1
68,900882422,Mercaderia SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,CUNDINAMARCA,CHIA-CUNDINAMARCA,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco",COMERCIO,1648073135,-215778445,446010649,597543383,-151532734,772445826,-163960626,298129948,322831537,-24701589,NIIF PLENAS-GRUPO 1
69,860002523,CEMEX COLOMBIA S.A.,SUPERFINANCIERA,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"C2394 - Fabricación de cemento, cal y yeso",MANUFACTURA,1637958724,96479839,3906560675,1508061737,2398498938,1705926720,33039480,3809343614,1536461330,2272882284,NIIF PLENAS-GRUPO 1
70,860069378,Cerro Matoso S.A.,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,B0723 - Extracción de minerales de níquel,MINERO-HIDROCARBUROS,1610892208,203021315,2221297988,940027872,1281270116,1257121334,203048722,2311504467,811935351,1499569116,NIIF PLENAS-GRUPO 1
71,830113598,ADMINEGOCIOS SAS,SUPERSOCIEDADES,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA-D.C.-BOGOTA D.C.,"M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.",SERVICIOS,1602925112,1143502164,7965328683,2970166054,4995162629,1129292807,895924063,7337786580,509879454,6827907126,NIIF PLENAS-GRUPO 1
